publishedAt,title,description,kind,videoID,channelId,channelTitle
2008-02-29T06:28:26.000Z,Classic Cheesecake Recipe : How to Add Cheesecake Filling to the Crust,Learn from our expert the final step of making cheesecake filling by adding the filling to your crust in this free recipe video on making classic cheesecake. Expert: ...,youtube#video,d-qufTBgVQ0,UCQlGBspQdj17WOPBQMT1k9A,expertvillage
2008-02-29T06:27:16.000Z,Classic Cheesecake Recipe : How to Add Eggs to Make Cheesecake Filling,Learn how to add some eggs to your cheesecake filling from our expert cook in this free recipe video on making classic cheesecake. Expert: Lauren Taylor Bio: ...,youtube#video,szrfe24EX0g,UCQlGBspQdj17WOPBQMT1k9A,expertvillage
2017-02-13T06:30:01.000Z,Raspberry & White Chocolate Cheesecake Recipe | Mirror Glaze,No-Bake White Chocolate and Raspberry Cheesecake. RECIPE HERE: http://bit.ly/2rZfJF0 Support me on Patreon: http://bit.ly/2nCJDhj Get MY FREE E-BOOK ...,youtube#video,oMTxqT2Ak30,UCzt-FIYMtaequzIOtppv8NQ,AllasYummyFood
2016-05-13T08:30:01.000Z,Strawberry Cheesecake In Jar | Easy To Make No Bake Cheesecake Recipe,"Watch how to make 'Strawberry Cheesecake In A Jar', a delectable cheesecake recipe by chef Kanak. Strawberry cheesecake in a jar is a scrumptious no bake ...",youtube#video,vhYIhimbrK8,UC_CydIbJiig9zulZh-seJ_Q,Kanak's Kitchen
2013-03-15T19:04:31.000Z,Cheesecake Recipe Videos,,youtube#playlist,HY37W6s-wVQ,UCs6VEc6vKPvmn4RBe7cDALw,Philadelphia Cream Cheese
2015-06-14T17:43:55.000Z,Cookies & Cream PROTEIN Cheesecake Recipe,"My 6x2 Cheesecake pan: http://amzn.to/2fbhIfP Craving cheesecake? Love cookies & cream? If yes to either then you're going to love this low fat, high protein ...",youtube#video,6sVFju5G6g0,UCNi6v2iv_jMxCoYRBQQi7zg,The Protein Chef
2011-01-25T02:22:18.000Z,Pistachio Cheesecake Recipe - Topped With Chopped Pistachios,Pistachio Cheesecake Recipe - Topped With Chopped Pistachios Ingredients: Crust: 2 cups crushed graham crackers 1 stick melted butter 1/4 cup sugar Filling: ...,youtube#video,NjH3Hzmpvag,UC-bUNbLlqCs33A-HKO9gTZg,divinechef
2017-04-28T07:00:00.000Z,No-Bake Malteser Cheesecake Recipe | Jane's Patisserie,"Vlog #5 - My Malteser Cheesecake recipe! A Delicious & Chocolatey Malteser Cheesecake - Malt Biscuit Base, Chocolate Malt Cheesecake, Malteser Spread, ...",youtube#video,4i848Cwt0nI,UCHiX7tCGd2j7rynom1W5AFA,Jane's Patisserie
2015-10-28T13:00:02.000Z,Pumpkin Swirl Cheesecake Recipe || MickIsAMom,Find the original recipe here: http://www.kraftcanada.com/recipes/pumpkin-swirl-cheesecake-94546 ▻ GET TO KNOW ME ♡ ❤ MY LABOUR & DELIVERY: ...,youtube#video,h8pik8B3e1I,UCcqGyVzSM8eu3ACJUzQmqaQ,MickIsAMom
2015-01-28T15:00:12.000Z,EASY CHEESECAKE RECIPE (SPECULOOS CRUST),"How to make a Cheesecake This delicious recipe is requested by Yukychan! Cheesecake is so light and fluffy and super delicious, so thanks for the request!",youtube#video,8SDQ6XDw_FA,UCsLFlcVxdHuetlfXwpoadow,Student Mealz
2014-07-16T10:31:07.000Z,Guilt-Free Delicious Protein Cheesecake Recipe!,MUST CLICK HERE TO SAVE! http://www.tigerfitness.com/?Click=99952 5% off MTS Nutrition - Discount Code: Kara Subscribe to Kara: ...,youtube#video,voeiy4DUF0Y,UCzzYnZ8GIzfB1Vr3hk2Nj9Q,Tiger Fitness
